;serie;temporada;episodio;nome_episodio;nota;votos
0;Big Mouth;2; 5;The Planned Parenthood Show;7.5;742
1;Bob's Burgers;9; 1;Just One of the Boyz 4 Now for Now;7.5;341
2;BoJack Horseman;5; 6;Free Churro;9.8;6550
3;Hora de Aventura;10; 13;Come Along With Me;9.7;1325
4;Os Simpsons;30; 11;Mad About the Toy;5.8;397
