;filme;ano;nota;votos
0;Black Mirror: Bandersnatch;2018;7.2;95966
1;Brexit;2019;7.0;8587
2;Deadwood;2019;7.6;11629
3;King Lear;2018;6.1;2120
4;Meu Jantar com Hervé;2018;7.0;4551
